Location,Rainfall
Adelaide,1.5663539307667422
Albany,2.2638594164456234
Albury,1.9141149119893721
AliceSprings,0.8828496042216359
BadgerysCreek,2.1931010928961747
Ballarat,1.7400264200792603
Bendigo,1.6193803559657218
Brisbane,3.144890857323632
Cairns,5.742034805890228
Canberra,1.7417203042715037
Cobar,1.1273092369477913
CoffsHarbour,5.061496782932611
Dartmoor,2.1465669612508496
Darwin,5.092452239273411
GoldCoast,3.7693959731543623
Hobart,1.601819322459222
Katherine,3.2010897435897436
Launceston,2.011988110964333
Melbourne,1.8700616016427105
MelbourneAirport,1.4519774011299436
Mildura,0.9450615231127371
Moree,1.6302032235459005
MountGambier,2.087561860772022
MountGinini,3.292260061919505
Newcastle,3.183891708967851
Nhil,0.9348629700446144
NorahHead,3.387299419597132
NorfolkIsland,3.127665317139001
Nuriootpa,1.3903429903429902
PearceRAAF,1.66908037653874
Penrith,2.1753036437246966
Perth,1.906295020357031
PerthAirport,1.761648388168827
Portland,2.5303738317757007
Richmond,2.1384615384615384
Sale,1.5101666666666667
SalmonGums,1.0343824027072759
Sydney,3.324543002697033
SydneyAirport,3.009916805324459
Townsville,3.485591823277283
Tuggeranong,2.1640426951300866
Uluru,0.7843626806833114
WaggaWagga,1.7099462365591398
Walpole,2.9068463994324225
Watsonia,1.860820273424475
Williamtown,3.591108499804152
Witchcliffe,2.8956639566395665
Wollongong,3.594902749832327
Woomera,0.49040454697425606
